Initial Pressure (mbar),Final Pressure (mbar),Pressure Step (mbar),Step Duration (s),Stabilization Time (s),"Pads to Calibrate (e.g. 0-29 or 1,5,6)",Cycles,Triangular Sweep (Up & Down),Ignore Pad Parsing (Record Raw STM),Time,STM_0,STM_1,STM_2,STM_3,STM_4,STM_5, x,Pressure,STM_Extra_14,STM_Extra_15,STM_Extra_16
0,400.0,50,60,50,0-5,1,false,false,0.042939186096191406,  69.686035,  48.965034,  68.906525,  41.110550,  38.362343,  79.348503,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,51.83912515640259,  72.814224,  51.503304,  70.589050,  42.740479,  39.629585,  81.170891,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,51.89495062828064,  72.818390,  51.493340,  70.593277,  42.744339,  39.629967,  81.153648,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,51.95143270492554,  72.825439,  51.499275,  70.612000,  42.747818,  39.614479,  81.159248,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.007511615753174,  72.802734,  51.488411,  70.580154,  42.744186,  39.630791,  81.152550,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.06660342216492,  72.826218,  51.494881,  70.593826,  42.735596,  39.627205,  81.149010,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.12170767784119,  72.827454,  51.512886,  70.602768,  42.752335,  39.641243,  81.158714,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.179115533828735,  72.835220,  51.503120,  70.597977,  42.751572,  39.640938,  81.151939,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.23650050163269,  72.817902,  51.501366,  70.595276,  42.745651,  39.633553,  81.161415,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.294190645217896,  72.827545,  51.508949,  70.606354,  42.749542,  39.642906,  81.154655,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.34852337837219,  72.822693,  51.497124,  70.600250,  42.744919,  39.628487,  81.163811,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.406941175460815,  72.813065,  51.498192,  70.593369,  42.746780,  39.623680,  81.161400,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.46338939666748,  72.817078,  51.483452,  70.600006,  42.742264,  39.626534,  81.152672,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.515377044677734,  72.816757,  51.508202,  70.601944,  42.752228,  39.640038,  81.170036,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.57689666748047,  72.825790,  51.511406,  70.606598,  42.745026,  39.639931,  81.161049,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.631617307662964,  72.827271,  51.512169,  70.606003,  42.752609,  39.638115,  81.157402,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.69056534767151,  72.823227,  51.484886,  70.591110,  42.750214,  39.633705,  81.144859,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.74712133407593,  72.826340,  51.494881,  70.589523,  42.745697,  39.628548,  81.169182,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.79988074302673,  72.802139,  51.487434,  70.594131,  42.738281,  39.654823,  81.155678,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.861753702163696,  72.829178,  51.496376,  70.618149,  42.747772,  39.632957,  81.151299,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.918508768081665,  72.825150,  51.513725,  70.609589,  42.749603,  39.635948,  81.161736,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,52.97493767738342,  72.821533,  51.494331,  70.590759,  42.742645,  39.625465,  81.157509,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.03059387207031,  72.827393,  51.491844,  70.590042,  42.735382,  39.631813,  81.155281,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.08846998214722,  72.820755,  51.504128,  70.598587,  42.755081,  39.641319,  81.154778,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.144761085510254,  72.831512,  51.491508,  70.604996,  42.733093,  39.633354,  81.148247,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.20249938964844,  72.825592,  51.498695,  70.592529,  42.748566,  39.631035,  81.146996,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.25906181335449,  72.833679,  51.500023,  70.601135,  42.754944,  39.659431,  81.155724,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.3159122467041,  72.816208,  51.494240,  70.596664,  42.740112,  39.623878,  81.148750,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.3730149269104,  72.816589,  51.495094,  70.590500,  42.742371,  39.631493,  81.151512,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.42898082733154,  72.821426,  51.505653,  70.601273,  42.752823,  39.643105,  81.166451,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.4865140914917,  72.830887,  51.492149,  70.588577,  42.750488,  39.637062,  81.150093,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.53976559638977,  72.843887,  51.515450,  70.606781,  42.756042,  39.641808,  81.155754,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.60005068778992,  72.823364,  51.507393,  70.604919,  42.747025,  39.629692,  81.163719,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.65644454956055,  72.846680,  51.518089,  70.602737,  42.761551,  39.624458,  81.151161,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.7139413356781,  72.820129,  51.502113,  70.598923,  42.748154,  39.628365,  81.159920,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.77090620994568,  72.836136,  51.501488,  70.609970,  42.752487,  39.654060,  81.163628,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.823368072509766,  72.823151,  51.507790,  70.606903,  42.749573,  39.642372,  81.155067,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.885772705078125,  72.828552,  51.499702,  70.604370,  42.755219,  39.632256,  81.158714,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,53.94077205657959,  72.815750,  51.504753,  70.596100,  42.752441,  39.639336,  81.161247,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.00130558013916,  72.832016,  51.502296,  70.596252,  42.740814,  39.635521,  81.152885,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.05471324920654,  72.810776,  51.509529,  70.589127,  42.755035,  39.629417,  81.141685,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.111156940460205,  72.824677,  51.524605,  70.603027,  42.752090,  39.629036,  81.156944,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.168968200683594,  72.822571,  51.505089,  70.593430,  42.760223,  39.637779,  81.152809,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.225494384765625,  72.827042,  51.495277,  70.596695,  42.750565,  39.629692,  81.163078,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.28265595436096,  72.833008,  51.522758,  70.611908,  42.762985,  39.629021,  81.161766,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.340524196624756,  72.814407,  51.505409,  70.601822,  42.746674,  39.586174,  81.155830,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.396716833114624,  72.833359,  51.508781,  70.606049,  42.759521,  39.641930,  81.151039,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.452728271484375,  72.823151,  51.507973,  70.596100,  42.754700,  39.649940,  81.167351,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.51046013832092,  72.836533,  51.507515,  70.617569,  42.760178,  39.633125,  81.165245,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.56472206115723,  72.823151,  51.504570,  70.608185,  42.750046,  39.633263,  81.158058,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.623774766922,  72.856567,  51.520699,  70.621170,  42.749588,  39.647560,  81.159935,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.68005418777466,  72.831116,  51.506813,  70.608047,  42.758881,  39.648125,  81.166359,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.73797535896301,  72.832520,  51.508095,  70.614136,  42.757294,  39.653770,  81.162712,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.794331312179565,  72.811615,  51.500496,  70.605469,  42.748703,  39.631020,  81.162956,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.84693908691406,  72.829391,  51.512169,  70.606216,  42.753204,  39.646202,  81.171135,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.90796232223511,  72.841827,  51.514000,  70.613922,  42.758240,  39.642082,  81.158760,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,54.965920209884644,  72.833191,  51.508842,  70.608841,  42.755325,  39.653130,  81.152458,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.017131328582764,  72.829849,  51.512733,  70.608154,  42.755997,  39.638512,  81.156029,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.08110451698303,  72.829254,  51.501701,  70.604996,  42.757324,  39.636833,  81.163216,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.133939266204834,  72.840775,  51.516136,  70.606125,  42.771408,  39.639442,  81.163139,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.192291498184204,  72.819199,  51.509148,  70.596649,  42.746658,  39.644737,  81.164009,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.249470949172974,  72.845062,  51.520058,  70.621307,  42.755127,  39.648155,  81.169609,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.30553722381592,  72.839737,  51.513725,  70.609879,  42.753510,  39.622612,  81.147804,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.36292481422424,  72.839188,  51.505867,  70.610062,  42.753586,  39.637978,  81.165947,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.4195191860199,  72.828644,  51.512321,  70.605698,  42.760956,  39.650826,  81.169533,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.47652578353882,  72.844696,  51.516212,  70.594238,  42.749115,  39.641411,  81.156776,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.53493356704712,  72.834030,  51.515877,  70.607422,  42.755524,  39.642387,  81.162971,  end,13,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.59227156639099,  72.852936,  51.519356,  70.611435,  42.768005,  39.641136,  81.169655,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.64753460884094,  72.828461,  51.507912,  70.596848,  42.746674,  39.626854,  81.159035,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.70353055000305,  72.822189,  51.514473,  70.603271,  42.757675,  39.642403,  81.165565,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.7617621421814,  72.837997,  51.513130,  70.612076,  42.756363,  39.635857,  81.171486,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.81769847869873,  72.834274,  51.502937,  70.601303,  42.756668,  39.654427,  81.144691,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.870450258255005,  72.824860,  51.503868,  70.609436,  42.756699,  39.639626,  81.172249,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.931396484375,  72.838120,  51.503441,  70.607620,  42.746445,  39.628395,  81.156487,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,55.98809194564819,  72.824448,  51.498039,  70.603012,  42.759918,  39.622551,  81.158699,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.04565095901489,  72.843842,  51.501564,  70.600098,  42.757721,  39.638496,  81.172417,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.10189723968506,  72.849213,  51.513206,  70.594025,  42.763657,  39.637413,  81.172020,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.158461809158325,  72.846710,  51.513618,  70.603989,  42.761215,  39.648918,  81.166008,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.2171049118042,  72.856934,  51.520668,  70.618332,  42.769089,  39.642570,  81.171654,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.27291417121887,  72.834717,  51.508858,  70.607590,  42.742096,  39.626579,  81.162025,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.3311927318573,  72.834183,  51.504570,  70.601181,  42.748352,  39.637749,  81.167503,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.38561964035034,  72.840073,  51.509621,  70.609879,  42.750153,  39.640358,  81.166283,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.44350004196167,  72.838333,  51.506004,  70.604996,  42.763229,  39.641930,  81.168190,  end,12,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.50118017196655,  72.846558,  51.519920,  70.618881,  42.766190,  39.640221,  81.172005,  end,11,1/1,Sweep Up,0.0
0,400.0,50,60,50,0-5,1,false,false,56.55652141571045,  72.843628,  51.520790,  70.607452,  42.765274,  39.641182,  81.175377,  end,11,1/1,Sweep Up,0.0
