timestamp,datetime,Select Device..._ch1,Select Device..._ch2,Select Device..._ch3,Select Device..._ch4,Select Device..._ch5,Select Device..._ch6
0.0,2026-03-15 15:38:02.657,26.26,12.26,11.74,13.08,11.09,9.55
0.01,2026-03-15 15:38:02.662,26.26,12.26,11.74,13.08,11.09,9.55
0.02,2026-03-15 15:38:02.672,26.26,12.26,11.74,13.08,11.09,9.55
0.03,2026-03-15 15:38:02.682,26.26,12.26,11.74,13.08,11.09,9.55
0.04,2026-03-15 15:38:02.692,26.26,12.26,11.74,13.08,11.09,9.55
0.05,2026-03-15 15:38:02.702,26.26,12.26,11.74,13.08,11.09,9.55
0.06,2026-03-15 15:38:02.716,26.23,12.2,11.75,13.0,11.04,9.55
0.08,2026-03-15 15:38:02.729,26.23,12.2,11.75,13.0,11.04,9.55
0.12,2026-03-15 15:38:02.776,26.26,12.2,11.69,13.03,11.06,9.53
0.13,2026-03-15 15:38:02.782,26.26,12.2,11.69,13.03,11.06,9.53
0.14,2026-03-15 15:38:02.793,26.26,12.2,11.69,13.03,11.06,9.53
0.15,2026-03-15 15:38:02.803,26.26,12.2,11.69,13.03,11.06,9.53
0.16,2026-03-15 15:38:02.813,26.26,12.2,11.69,13.03,11.06,9.53
0.17,2026-03-15 15:38:02.822,26.26,12.2,11.69,13.03,11.06,9.53
0.18,2026-03-15 15:38:02.837,26.22,12.19,11.7,13.03,11.06,9.54
0.19,2026-03-15 15:38:02.842,26.22,12.19,11.7,13.03,11.06,9.54
0.2,2026-03-15 15:38:02.853,26.22,12.19,11.7,13.03,11.06,9.54
0.21,2026-03-15 15:38:02.865,26.22,12.19,11.7,13.03,11.06,9.54
0.26,2026-03-15 15:38:02.916,26.24,12.2,11.71,13.03,11.07,9.54
0.27,2026-03-15 15:38:02.922,26.24,12.2,11.71,13.03,11.07,9.54
0.28,2026-03-15 15:38:02.932,26.24,12.2,11.71,13.03,11.07,9.54
0.29,2026-03-15 15:38:02.945,26.24,12.24,11.81,13.06,11.09,9.44
0.3,2026-03-15 15:38:02.952,26.24,12.24,11.81,13.06,11.09,9.44
0.31,2026-03-15 15:38:02.962,26.24,12.24,11.81,13.06,11.09,9.44
0.32,2026-03-15 15:38:02.972,26.24,12.24,11.81,13.06,11.09,9.44
0.33,2026-03-15 15:38:02.982,26.24,12.24,11.81,13.06,11.09,9.44
0.34,2026-03-15 15:38:02.993,26.24,12.24,11.81,13.06,11.09,9.44
0.35,2026-03-15 15:38:03.007,26.23,12.23,11.7,13.08,11.05,9.57
0.42,2026-03-15 15:38:03.068,26.24,12.22,11.73,13.06,11.08,9.55
0.42,2026-03-15 15:38:03.072,26.24,12.22,11.73,13.06,11.08,9.55
0.43,2026-03-15 15:38:03.082,26.24,12.22,11.73,13.06,11.08,9.55
0.44,2026-03-15 15:38:03.092,26.24,12.22,11.73,13.06,11.08,9.55
0.45,2026-03-15 15:38:03.102,26.24,12.22,11.73,13.06,11.08,9.55
0.46,2026-03-15 15:38:03.115,26.23,12.21,11.71,13.05,11.08,9.53
0.47,2026-03-15 15:38:03.122,26.23,12.21,11.71,13.05,11.08,9.53
0.48,2026-03-15 15:38:03.133,26.23,12.21,11.71,13.05,11.08,9.53
0.49,2026-03-15 15:38:03.143,26.23,12.21,11.71,13.05,11.08,9.53
0.5,2026-03-15 15:38:03.157,26.23,12.21,11.71,13.05,11.08,9.53
0.56,2026-03-15 15:38:03.215,26.26,12.24,11.71,13.05,11.07,9.53
0.57,2026-03-15 15:38:03.223,26.26,12.23,11.72,13.03,11.08,9.54
0.58,2026-03-15 15:38:03.233,26.26,12.23,11.72,13.03,11.08,9.54
0.59,2026-03-15 15:38:03.243,26.26,12.23,11.72,13.03,11.08,9.54
0.6,2026-03-15 15:38:03.252,26.26,12.23,11.72,13.03,11.08,9.54
0.61,2026-03-15 15:38:03.262,26.26,12.23,11.72,13.03,11.08,9.54
0.62,2026-03-15 15:38:03.273,26.26,12.23,11.72,13.03,11.08,9.54
0.63,2026-03-15 15:38:03.284,26.23,12.2,11.74,13.04,10.97,9.53
0.64,2026-03-15 15:38:03.293,26.23,12.2,11.74,13.04,10.97,9.53
0.65,2026-03-15 15:38:03.304,26.23,12.2,11.74,13.04,10.97,9.53
0.71,2026-03-15 15:38:03.367,26.22,12.21,11.68,13.03,11.07,9.5
0.72,2026-03-15 15:38:03.372,26.22,12.21,11.68,13.03,11.07,9.5
0.73,2026-03-15 15:38:03.383,26.22,12.21,11.68,13.03,11.07,9.5
0.74,2026-03-15 15:38:03.394,26.22,12.2,11.68,13.02,11.1,9.52
0.75,2026-03-15 15:38:03.402,26.22,12.2,11.68,13.02,11.1,9.52
0.76,2026-03-15 15:38:03.413,26.22,12.2,11.68,13.02,11.1,9.52
0.77,2026-03-15 15:38:03.423,26.22,12.2,11.68,13.02,11.1,9.52
0.78,2026-03-15 15:38:03.432,26.22,12.2,11.68,13.02,11.1,9.52
0.79,2026-03-15 15:38:03.442,26.22,12.2,11.68,13.02,11.1,9.52
0.81,2026-03-15 15:38:03.464,26.23,12.2,11.72,13.04,11.09,9.53
0.88,2026-03-15 15:38:03.529,26.22,12.21,11.7,13.04,11.06,9.52
0.88,2026-03-15 15:38:03.533,26.22,12.21,11.7,13.04,11.06,9.52
0.89,2026-03-15 15:38:03.543,26.22,12.21,11.7,13.04,11.06,9.52
0.9,2026-03-15 15:38:03.553,26.22,12.21,11.7,13.04,11.06,9.52
0.91,2026-03-15 15:38:03.566,26.21,12.18,11.7,13.02,11.06,9.52
0.92,2026-03-15 15:38:03.573,26.21,12.18,11.7,13.02,11.06,9.52
0.93,2026-03-15 15:38:03.583,26.21,12.18,11.7,13.02,11.06,9.52
0.94,2026-03-15 15:38:03.592,26.21,12.18,11.7,13.02,11.06,9.52
0.95,2026-03-15 15:38:03.603,26.21,12.18,11.7,13.02,11.06,9.52
0.96,2026-03-15 15:38:03.615,26.21,12.18,11.7,13.02,11.06,9.52
1.01,2026-03-15 15:38:03.660,26.23,12.22,11.68,13.04,11.08,9.52
1.01,2026-03-15 15:38:03.662,26.23,12.22,11.68,13.04,11.08,9.52
1.02,2026-03-15 15:38:03.673,26.23,12.22,11.68,13.04,11.08,9.52
1.03,2026-03-15 15:38:03.684,26.22,12.21,11.69,13.04,11.07,9.52
1.04,2026-03-15 15:38:03.692,26.22,12.21,11.69,13.04,11.07,9.52
1.05,2026-03-15 15:38:03.702,26.22,12.21,11.69,13.04,11.07,9.52
1.06,2026-03-15 15:38:03.713,26.22,12.21,11.69,13.04,11.07,9.52
1.07,2026-03-15 15:38:03.722,26.22,12.21,11.69,13.04,11.07,9.52
1.08,2026-03-15 15:38:03.736,26.19,12.21,11.67,13.02,11.05,9.51
1.1,2026-03-15 15:38:03.750,26.19,12.21,11.67,13.02,11.05,9.51
1.16,2026-03-15 15:38:03.813,26.22,12.2,11.68,13.01,11.05,9.52
1.17,2026-03-15 15:38:03.822,26.22,12.2,11.68,13.01,11.05,9.52
1.18,2026-03-15 15:38:03.832,26.22,12.2,11.68,13.01,11.05,9.52
1.19,2026-03-15 15:38:03.843,26.22,12.2,11.68,13.01,11.05,9.52
1.2,2026-03-15 15:38:03.854,26.22,12.19,11.69,13.04,11.06,9.52
1.21,2026-03-15 15:38:03.863,26.22,12.19,11.69,13.04,11.06,9.52
1.22,2026-03-15 15:38:03.873,26.22,12.19,11.69,13.04,11.06,9.52
1.23,2026-03-15 15:38:03.883,26.22,12.19,11.69,13.04,11.06,9.52
1.24,2026-03-15 15:38:03.892,26.22,12.19,11.69,13.04,11.06,9.52
1.25,2026-03-15 15:38:03.906,26.22,12.19,11.68,13.03,11.05,9.52
1.3,2026-03-15 15:38:03.950,26.22,12.19,11.68,13.03,11.05,9.52
1.3,2026-03-15 15:38:03.953,26.22,12.19,11.68,13.03,11.05,9.52
1.31,2026-03-15 15:38:03.963,26.23,12.2,11.69,13.02,11.06,9.52
1.32,2026-03-15 15:38:03.973,26.23,12.2,11.69,13.02,11.06,9.52
1.33,2026-03-15 15:38:03.982,26.23,12.2,11.69,13.02,11.06,9.52
1.34,2026-03-15 15:38:03.992,26.23,12.2,11.69,13.02,11.06,9.52
1.35,2026-03-15 15:38:04.003,26.23,12.2,11.69,13.02,11.06,9.52
1.36,2026-03-15 15:38:04.013,26.23,12.2,11.69,13.02,11.06,9.52
1.37,2026-03-15 15:38:04.024,26.23,12.2,11.69,13.04,11.07,9.52
1.38,2026-03-15 15:38:04.035,26.23,12.2,11.69,13.04,11.07,9.52
1.44,2026-03-15 15:38:04.094,26.21,12.17,11.68,13.02,11.07,9.53
1.44,2026-03-15 15:38:04.096,26.21,12.17,11.68,13.02,11.07,9.53
1.45,2026-03-15 15:38:04.102,26.21,12.17,11.68,13.02,11.07,9.53
1.46,2026-03-15 15:38:04.112,26.21,12.17,11.68,13.02,11.07,9.53
1.47,2026-03-15 15:38:04.122,26.21,12.17,11.68,13.02,11.07,9.53
1.48,2026-03-15 15:38:04.136,26.22,12.22,11.72,13.03,11.05,9.52
1.49,2026-03-15 15:38:04.142,26.22,12.22,11.72,13.03,11.05,9.52
1.5,2026-03-15 15:38:04.152,26.22,12.22,11.72,13.03,11.05,9.52
1.51,2026-03-15 15:38:04.162,26.22,12.22,11.72,13.03,11.05,9.52
1.52,2026-03-15 15:38:04.175,26.22,12.22,11.72,13.03,11.05,9.52
1.57,2026-03-15 15:38:04.218,26.25,12.2,11.68,13.04,11.06,9.52
1.57,2026-03-15 15:38:04.222,26.25,12.2,11.68,13.04,11.06,9.52
1.58,2026-03-15 15:38:04.232,26.25,12.2,11.68,13.04,11.06,9.52
1.59,2026-03-15 15:38:04.243,26.25,12.2,11.68,13.04,11.06,9.52
1.6,2026-03-15 15:38:04.255,26.22,12.17,11.67,13.03,11.04,9.55
1.61,2026-03-15 15:38:04.263,26.22,12.17,11.67,13.03,11.04,9.55
1.62,2026-03-15 15:38:04.273,26.22,12.17,11.67,13.03,11.04,9.55
1.63,2026-03-15 15:38:04.283,26.22,12.17,11.67,13.03,11.04,9.55
1.64,2026-03-15 15:38:04.293,26.22,12.17,11.67,13.03,11.04,9.55
1.65,2026-03-15 15:38:04.307,26.21,12.18,11.69,13.03,11.06,9.52
1.71,2026-03-15 15:38:04.364,26.21,12.18,11.68,13.03,11.06,9.51
1.72,2026-03-15 15:38:04.373,26.21,12.18,11.68,13.03,11.06,9.51
1.73,2026-03-15 15:38:04.382,26.21,12.18,11.68,13.03,11.06,9.51
1.74,2026-03-15 15:38:04.392,26.21,12.18,11.68,13.03,11.06,9.51
1.75,2026-03-15 15:38:04.403,26.21,12.18,11.68,13.03,11.06,9.51
1.76,2026-03-15 15:38:04.413,26.21,12.18,11.68,13.03,11.06,9.51
1.77,2026-03-15 15:38:04.425,26.22,12.18,11.7,13.04,11.06,9.49
1.78,2026-03-15 15:38:04.433,26.22,12.18,11.7,13.04,11.06,9.49
1.79,2026-03-15 15:38:04.443,26.22,12.18,11.7,13.04,11.06,9.49
1.8,2026-03-15 15:38:04.455,26.22,12.18,11.7,13.04,11.06,9.49
1.84,2026-03-15 15:38:04.494,26.21,12.22,11.7,13.03,11.07,9.53
1.85,2026-03-15 15:38:04.502,26.21,12.22,11.7,13.03,11.07,9.53
1.86,2026-03-15 15:38:04.512,26.21,12.22,11.7,13.03,11.07,9.53
1.87,2026-03-15 15:38:04.525,26.21,12.22,11.7,13.03,11.07,9.53
1.88,2026-03-15 15:38:04.534,26.2,12.2,11.69,13.05,11.06,9.51
1.89,2026-03-15 15:38:04.542,26.2,12.2,11.69,13.05,11.06,9.51
1.9,2026-03-15 15:38:04.553,26.2,12.2,11.69,13.05,11.06,9.51
1.91,2026-03-15 15:38:04.562,26.2,12.2,11.69,13.05,11.06,9.51
1.92,2026-03-15 15:38:04.572,26.2,12.2,11.69,13.05,11.06,9.51
1.94,2026-03-15 15:38:04.589,26.22,12.21,11.7,13.0,11.05,9.53
1.98,2026-03-15 15:38:04.628,26.22,12.21,11.7,13.0,11.05,9.53
1.98,2026-03-15 15:38:04.633,26.22,12.21,11.7,13.0,11.05,9.53
1.99,2026-03-15 15:38:04.644,26.23,12.19,11.68,13.02,11.04,9.52
2.0,2026-03-15 15:38:04.652,26.23,12.19,11.68,13.02,11.04,9.52
2.01,2026-03-15 15:38:04.662,26.23,12.19,11.68,13.02,11.04,9.52
2.02,2026-03-15 15:38:04.673,26.23,12.19,11.68,13.02,11.04,9.52
2.03,2026-03-15 15:38:04.682,26.23,12.19,11.68,13.02,11.04,9.52
